gene,growth_wt,growth_ko,percent_change,lethal_flag,abs_change
SGL_RS12365,0.07653046659469502,-9.141932916387109e-15,-100.00000000001195,True,0.07653046659470417
SGL_RS18300,0.07653046659469502,-6.935450675318851e-15,-100.00000000000907,True,0.07653046659470196
SGL_RS02220,0.07653046659469502,-5.0963094425951176e-15,-100.00000000000666,True,0.07653046659470011
SGL_RS15530,0.07653046659469502,-5.0963094425951176e-15,-100.00000000000666,True,0.07653046659470011
SGL_RS15525,0.07653046659469502,-5.092815903191909e-15,-100.00000000000666,True,0.07653046659470011
SGL_RS18210,0.07653046659469502,-4.877813349621431e-15,-100.00000000000637,True,0.07653046659469989
SGL_RS16805,0.07653046659469502,-4.864271030852233e-15,-100.00000000000637,True,0.07653046659469989
SGL_RS11780,0.07653046659469502,-4.852788011498347e-15,-100.00000000000635,True,0.07653046659469988
SGL_RS06690,0.07653046659469502,-4.7999365631151055e-15,-100.00000000000628,True,0.07653046659469982
SGL_RS15145,0.07653046659469502,-4.790068296826361e-15,-100.00000000000627,True,0.07653046659469981
