gene,growth_wt,growth_ko,percent_change,lethal_flag
SGL_RS12365,0.07653046659469502,-9.141932916387109e-15,-100.00000000001195,True
SGL_RS18300,0.07653046659469502,-6.935450675318851e-15,-100.00000000000907,True
SGL_RS15530,0.07653046659469502,-5.0963094425951176e-15,-100.00000000000666,True
SGL_RS15525,0.07653046659469502,-5.092815903191909e-15,-100.00000000000666,True
SGL_RS02220,0.07653046659469502,-5.0963094425951176e-15,-100.00000000000666,True
SGL_RS16805,0.07653046659469502,-4.864271030852233e-15,-100.00000000000637,True
SGL_RS18210,0.07653046659469502,-4.877813349621431e-15,-100.00000000000637,True
SGL_RS11780,0.07653046659469502,-4.852788011498347e-15,-100.00000000000635,True
SGL_RS06690,0.07653046659469502,-4.7999365631151055e-15,-100.00000000000628,True
SGL_RS15145,0.07653046659469502,-4.790068296826361e-15,-100.00000000000627,True
SGL_RS17740,0.07653046659469502,-3.1088812096005886e-15,-100.00000000000406,True
SGL_RS06575,0.07653046659469502,-2.09870137580709e-15,-100.00000000000273,True
SGL_RS14775,0.07653046659469502,-2.096691195005278e-15,-100.00000000000273,True
SGL_RS13120,0.07653046659469502,-1.2454156143605407e-15,-100.00000000000165,True
SGL_RS15555,0.07653046659469502,-7.041016137418948e-16,-100.00000000000094,True
SGL_RS13790,0.07653046659469502,-5.36429602303914e-16,-100.00000000000071,True
SGL_RS11485,0.07653046659469502,-4.48053398937393e-16,-100.00000000000058,True
SGL_RS11290,0.07653046659469502,-1.0810691644372959e-16,-100.00000000000016,True
SGL_RS02440,0.07653046659469502,-7.512899634083834e-17,-100.00000000000009,True
SGL_RS10805,0.07653046659469502,-6.520784714118256e-17,-100.00000000000009,True
SGL_RS04100,0.07653046659469502,-7.512899634083833e-17,-100.00000000000009,True
SGL_RS11330,0.07653046659469502,-7.512899634083836e-17,-100.00000000000009,True
SGL_RS16540,0.07653046659469502,-7.516372163174275e-17,-100.00000000000009,True
SGL_RS08060,0.07653046659469502,-6.844476488312183e-17,-100.00000000000009,True
SGL_RS12160,0.07653046659469502,-7.512899634083829e-17,-100.00000000000009,True
SGL_RS06095,0.07653046659469502,-7.512899634083833e-17,-100.00000000000009,True
SGL_RS09990,0.07653046659469502,-5.2512802173421e-17,-100.00000000000007,True
SGL_RS02245,0.07653046659469502,-5.292679831074763e-17,-100.00000000000007,True
SGL_RS12840,0.07653046659469502,-5.087895613689651e-17,-100.00000000000007,True
SGL_RS13720,0.07653046659469502,-5.1159436528937e-17,-100.00000000000007,True
SGL_RS17055,0.07653046659469502,-5.667870959173167e-17,-100.00000000000007,True
SGL_RS14335,0.07653046659469502,-5.1159436528937e-17,-100.00000000000007,True
