gene,WT_growth,KO_growth,Percent_change
SGL_RS15845,0.0,0.0,0
SGL_RS12955,0.0,0.0,0
SGL_RS06645,0.0,0.0,0
SGL_RS03800,0.0,0.0,0
SGL_RS06815,0.0,0.0,0
SGL_RS13675,0.0,0.0,0
SGL_RS08475,0.0,0.0,0
SGL_RS11700,0.0,0.0,0
SGL_RS18020,0.0,0.0,0
SGL_RS06840,0.0,0.0,0
SGL_RS15700,0.0,0.0,0
SGL_RS09370,0.0,0.0,0
SGL_RS09095,0.0,0.0,0
SGL_RS16950,0.0,0.0,0
SGL_RS17330,0.0,0.0,0
SGL_RS10730,0.0,0.0,0
SGL_RS01915,0.0,0.0,0
SGL_RS16995,0.0,0.0,0
SGL_RS08615,0.0,0.0,0
SGL_RS06140,0.0,0.0,0
SGL_RS11045,0.0,0.0,0
SGL_RS06795,0.0,0.0,0
SGL_RS10735,0.0,0.0,0
SGL_RS10725,0.0,0.0,0
SGL_RS07980,0.0,0.0,0
SGL_RS17425,0.0,0.0,0
SGL_RS10720,0.0,0.0,0
ssl0352,0.0,0.0,0
SGL_RS07645,0.0,0.0,0
SGL_RS16990,0.0,0.0,0
SGL_RS04850,0.0,0.0,0
SGL_RS14120,0.0,0.0,0
SGL_RS10570,0.0,0.0,0
SGL_RS16985,0.0,0.0,0
SGL_RS16920,0.0,0.0,0
SGL_RS06295,0.0,0.0,0
SGL_RS17290,0.0,0.0,0
SGL_RS09310,0.0,0.0,0
SGL_RS16925,0.0,0.0,0
SGL_RS10115,0.0,0.0,0
SGL_RS12625,0.0,0.0,0
SGL_RS02200,0.0,0.0,0
SGL_RS05355,0.0,0.0,0
SGL_RS05365,0.0,0.0,0
SGL_RS11490,0.0,0.0,0
sll0831,0.0,0.0,0
SGL_RS08920,0.0,0.0,0
SGL_RS06370,0.0,0.0,0
SGL_RS02310,0.0,0.0,0
SGL_RS11000,0.0,0.0,0
SGL_RS15455,0.0,0.0,0
SGL_RS03840,0.0,0.0,0
SGL_RS09760,0.0,0.0,0
SGL_RS02670,0.0,0.0,0
SGL_RS03225,0.0,0.0,0
SGL_RS15190,0.0,0.0,0
SGL_RS09755,0.0,0.0,0
SGL_RS17000,0.0,0.0,0
SGL_RS03060,0.0,0.0,0
SGL_RS16880,0.0,0.0,0
SGL_RS03380,0.0,0.0,0
SGL_RS06290,0.0,0.0,0
SGL_RS02705,0.0,0.0,0
SGL_RS02610,0.0,0.0,0
SGL_RS16595,0.0,0.0,0
SGL_RS04690,0.0,0.0,0
SGL_RS02690,0.0,0.0,0
SGL_RS11955,0.0,0.0,0
SGL_RS09885,0.0,0.0,0
SGL_RS16590,0.0,0.0,0
SGL_RS02675,0.0,0.0,0
SGL_RS09745,0.0,0.0,0
SGL_RS09990,0.0,0.0,0
SGL_RS07170,0.0,0.0,0
SGL_RS02700,0.0,0.0,0
SGL_RS12745,0.0,0.0,0
SGL_RS02695,0.0,0.0,0
sll8031,0.0,0.0,0
SGL_RS06285,0.0,0.0,0
SGL_RS09710,0.0,0.0,0
SGL_RS14710,0.0,0.0,0
SGL_RS03305,0.0,0.0,0
SGL_RS02685,0.0,0.0,0
SGL_RS09665,0.0,0.0,0
SGL_RS13525,0.0,0.0,0
SGL_RS15640,0.0,0.0,0
SGL_RS03470,0.0,0.0,0
SGL_RS06280,0.0,0.0,0
SGL_RS17540,0.0,0.0,0
SGL_RS07035,0.0,0.0,0
SGL_RS08135,0.0,0.0,0
SGL_RS08115,0.0,0.0,0
SGL_RS05550,0.0,0.0,0
SGL_RS05540,0.0,0.0,0
SGL_RS05545,0.0,0.0,0
SGL_RS08600,0.0,0.0,0
SGL_RS11200,0.0,0.0,0
SGL_RS06360,0.0,0.0,0
SGL_RS13640,0.0,0.0,0
SGL_RS12465,0.0,0.0,0
SGL_RS09150,0.0,0.0,0
SGL_RS09865,0.0,0.0,0
SGL_RS09075,0.0,0.0,0
SGL_RS02780,0.0,0.0,0
SGL_RS09080,0.0,0.0,0
SGL_RS05015,0.0,0.0,0
SGL_RS11230,0.0,0.0,0
SGL_RS15265,0.0,0.0,0
SGL_RS06345,0.0,0.0,0
SGL_RS13005,0.0,0.0,0
SGL_RS05010,0.0,0.0,0
SGL_RS12345,0.0,0.0,0
SGL_RS08580,0.0,0.0,0
SGL_RS02380,0.0,0.0,0
SGL_RS15030,0.0,0.0,0
SGL_RS04900,0.0,0.0,0
SGL_RS14260,0.0,0.0,0
SGL_RS13200,0.0,0.0,0
SGL_RS11290,0.0,0.0,0
SGL_RS02960,0.0,0.0,0
SGL_RS14885,0.0,0.0,0
SGL_RS13610,0.0,0.0,0
SGL_RS15890,0.0,0.0,0
SGL_RS04660,0.0,0.0,0
SGL_RS12490,0.0,0.0,0
SGL_RS06800,0.0,0.0,0
SGL_RS17360,0.0,0.0,0
ssl3803,0.0,0.0,0
SGL_RS03210,0.0,0.0,0
SGL_RS17600,0.0,0.0,0
SGL_RS10660,0.0,0.0,0
SGL_RS11225,0.0,0.0,0
SGL_RS14930,0.0,0.0,0
SGL_RS03770,0.0,0.0,0
SGL_RS05230,0.0,0.0,0
SGL_RS13465,0.0,0.0,0
SGL_RS18155,0.0,0.0,0
SGL_RS05245,0.0,0.0,0
SGL_RS16015,0.0,0.0,0
SGL_RS08045,0.0,0.0,0
SGL_RS09430,0.0,0.0,0
SGL_RS17040,0.0,0.0,0
SGL_RS05875,0.0,0.0,0
SGL_RS05250,0.0,0.0,0
SGL_RS06730,0.0,0.0,0
SGL_RS16365,0.0,0.0,0
SGL_RS10475,0.0,0.0,0
SGL_RS14865,0.0,0.0,0
SGL_RS15205,0.0,0.0,0
